"Ashfield",28.6
"Auburn",18.5
"Bankstown",13.6
"Baulkham Hills",
"Blacktown",16.7
"Blue Mountains",6.7
"Botany Bay",
"Burwood",
"Camden",
"Campbelltown",17.4
"Canada Bay",17.6
"Canterbury",15.2
"Cessnock",5.6
"Fairfield",13.0
"Gosford",4.2
"Hawkesbury",10.6
"Holroyd",10.7
"Hornsby",12.9
"Hunters Hill",
"Hurstville",9.1
"Kiama",
"Kogarah",
"Ku-ring-gai",4.3
"Lake Macquarie",6.4
"Lane Cove",
"Leichhardt",19.6
"Liverpool",11.2
"Maitland",14.3
"Manly",
"Marrickville",5.3
"Mosman",
"Newcastle",5.7
"North Sydney",
"Parramatta",15.2
"Penrith",21.4
"Pittwater",54.1
"Port Stephens",7.1
"Randwick",10.0
"Rockdale",4.0
"Ryde",6.3
"Shellharbour",13.6
"Strathfield",
"Sutherland",21.2
"Sydney",5.3
"Warringah",8.2
"Waverley",
"Willoughby",1.4
"Wollondilly",
"Wollongong",8.3
"Woollahra",
"Wyong",10.0
