"name","strata","nonstrata"
"Ashfield",350,674
"Auburn",340,433
"Bankstown",268,420
"Baulkham Hills",410,578
"Blacktown",272,340
"Blue Mountains",285,340
"Botany Bay",460,649
"Burwood",410,655
"Camden",277,388
"Campbelltown",217,295
"Canada Bay",520,848
"Canterbury",260,500
"Cessnock",260,218
"Fairfield",205,350
"Gosford",270,360
"Hawkesbury",240,371
"Holroyd",270,390
"Hornsby",373,625
"Hunters Hill",534,1035
"Hurstville",340,560
"Kiama",354,440
"Kogarah",380,740
"Ku-ring-gai",585,1050
"Lake Macquarie",300,315
"Lane Cove",391,1060
"Leichhardt",545,772
"Liverpool",245,380
"Maitland",273,290
"Manly",579,1240
"Marrickville",331,613
"Mosman",523,2063
"Newcastle",294,320
"North Sydney",530,1120
"Parramatta",319,447
"Penrith",239,325
"Pittwater",548,885
"Port Stephens",315,340
"Randwick",500,980
"Rockdale",346,595
"Ryde",362,680
"Shellharbour",250,320
"Strathfield",348,838
"Sutherland",371,590
"Sydney",458,723
"Warringah",431,801
"Waverley",523,1310
"Willoughby",498,1019
"Wollongong",290,362
"Woollahra",600,1415
"Wyong",254,295
